population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,2,Percent,2020,1.3960663711414884e-05,2.4154810755875616e-05,6.539089205562971e-06
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,3,Rate,2020,0.014251146390973806,0.024657560123758294,0.0066758030918485445
1,All Population,1,Deaths,80,France,3,Both,22,All ages,558,Mental disorders,1,Number,2021,14.742264611730869,30.925068280341794,6.943748254586439
1,All Population,1,Deaths,80,France,3,Both,22,All ages,558,Mental disorders,2,Percent,2021,2.30857677532402e-05,4.8395848976454757e-05,1.0867742594550978e-05
1,All Population,1,Deaths,80,France,3,Both,22,All ages,558,Mental disorders,3,Rate,2021,0.021347709608033963,0.04478140873499413,0.010054976303454121
1,All Population,1,Deaths,80,France,3,Both,22,All ages,572,Eating disorders,1,Number,2021,14.742264611730869,30.925068280341794,6.943748254586439
1,All Population,1,Deaths,80,France,3,Both,22,All ages,572,Eating disorders,2,Percent,2021,2.30857677532402e-05,4.8395848976454757e-05,1.0867742594550978e-05
1,All Population,1,Deaths,80,France,3,Both,22,All ages,572,Eating disorders,3,Rate,2021,0.021347709608033963,0.04478140873499413,0.010054976303454121
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,572,Eating disorders,1,Number,2021,1.8975691129131753,15.360949102608929,0.4165949302337503
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,572,Eating disorders,2,Percent,2021,1.3150805381262823e-06,1.0640634410281832e-05,2.886587040613014e-07
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,572,Eating disorders,3,Rate,2021,0.001511895744181713,0.012238897343334318,0.000331923668962514
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2021,46.99031591639111,82.00660855688137,22.416826505349206
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,2,Percent,2021,1.3564219983577853e-05,2.3668460857255452e-05,6.4702173763949645e-06
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,3,Rate,2021,0.01414561476910753,0.0246866587411471,0.0067481945142654
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,1,Number,2021,46.99031591639111,82.00660855688137,22.416826505349206
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,2,Percent,2021,1.3564219983577853e-05,2.3668460857255452e-05,6.4702173763949645e-06
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,3,Rate,2021,0.01414561476910753,0.0246866587411471,0.0067481945142654
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,558,Mental disorders,1,Number,2021,2.412609160376135,4.436171503182482,0.07024477796979944
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,558,Mental disorders,2,Percent,2021,4.643783519626568e-06,8.54079455380908e-06,1.3516326258754078e-07
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,558,Mental disorders,3,Rate,2021,0.006212436682575214,0.011423082954832632,0.00018087937432472424
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,572,Eating disorders,1,Number,2021,2.412609160376135,4.436171503182482,0.07024477796979944
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,572,Eating disorders,2,Percent,2021,4.643783519626568e-06,8.54079455380908e-06,1.3516326258754078e-07
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,572,Eating disorders,3,Rate,2021,0.006212436682575214,0.011423082954832632,0.00018087937432472424
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,558,Mental disorders,1,Number,2021,0.2811925234239328,2.2661841160011207,0.03657133089209786
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,558,Mental disorders,2,Percent,2021,6.465265457789684e-07,5.210519213827101e-06,8.410567982003577e-08
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,558,Mental disorders,3,Rate,2021,0.0006000882311350032,0.004836225376971059,7.804626167889081e-05
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,572,Eating disorders,1,Number,2021,0.2811925234239328,2.2661841160011207,0.03657133089209786
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,572,Eating disorders,2,Percent,2021,6.465265457789684e-07,5.210519213827101e-06,8.410567982003577e-08
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,572,Eating disorders,3,Rate,2021,0.0006000882311350032,0.004836225376971059,7.804626167889081e-05
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,558,Mental disorders,1,Number,2022,6.264014352907846,10.71119017118577,1.7864992605211123
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,558,Mental disorders,2,Percent,2022,3.281148322312353e-05,5.6320007493574727e-05,9.346871912924871e-06
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,558,Mental disorders,3,Rate,2022,0.02363957267798287,0.04042263383414807,0.006742015060780752
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,572,Eating disorders,1,Number,2022,6.264014352907846,10.71119017118577,1.7864992605211123
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,572,Eating disorders,2,Percent,2022,3.281148322312353e-05,5.6320007493574727e-05,9.346871912924871e-06
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,572,Eating disorders,3,Rate,2022,0.02363957267798287,0.04042263383414807,0.006742015060780752
1,All Population,1,Deaths,80,France,3,Both,22,All ages,558,Mental disorders,1,Number,2022,16.462461012612955,33.842195544498146,7.544828663729028
1,All Population,1,Deaths,80,France,3,Both,22,All ages,558,Mental disorders,2,Percent,2022,2.4338863426884955e-05,5.002741138323101e-05,1.1109569624253231e-05
1,All Population,1,Deaths,80,France,3,Both,22,All ages,558,Mental disorders,3,Rate,2022,0.023652152579718647,0.04862218182554085,0.010839900462368931
1,All Population,1,Deaths,80,France,3,Both,22,All ages,572,Eating disorders,1,Number,2022,16.462461012612955,33.842195544498146,7.544828663729028
1,All Population,1,Deaths,80,France,3,Both,22,All ages,572,Eating disorders,2,Percent,2022,2.4338863426884955e-05,5.002741138323101e-05,1.1109569624253231e-05
1,All Population,1,Deaths,80,France,3,Both,22,All ages,572,Eating disorders,3,Rate,2022,0.023652152579718647,0.04862218182554085,0.010839900462368931
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,558,Mental disorders,1,Number,2022,0.3071390164621301,2.4646499411147182,0.03708371867750122
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,558,Mental disorders,2,Percent,2022,7.739945587258912e-07,6.225378429857061e-06,9.339868305332044e-08
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,558,Mental disorders,3,Rate,2022,0.0006509755262214085,0.005223780458926299,7.859826328287262e-05
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,572,Eating disorders,1,Number,2022,0.3071390164621301,2.4646499411147182,0.03708371867750122
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,572,Eating disorders,2,Percent,2022,7.739945587258912e-07,6.225378429857061e-06,9.339868305332044e-08
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,572,Eating disorders,3,Rate,2022,0.0006509755262214085,0.005223780458926299,7.859826328287262e-05
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,558,Mental disorders,1,Number,2023,5.916153167370369,10.451596421642622,1.6583825068059277
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,558,Mental disorders,2,Percent,2023,3.247147860821928e-05,5.735787157452459e-05,9.106883779380237e-06
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,558,Mental disorders,3,Rate,2023,0.02195239623905519,0.03878154934257248,0.006153571227011188
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,572,Eating disorders,1,Number,2023,5.916153167370369,10.451596421642622,1.6583825068059277
